Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
#Christmas (Vocal 달소영),피아노의 숲,내일을 기다리는 들뜬 기분과 함께할 플레이리스트,"설렘, 출/퇴근길, 편안한, 가요, 따뜻한, 오늘의선곡","[15, 15, 15, 15, 16, 14, 15, 8, 12, 3]",12.8,3.9446165846632044
#TWERKIT (Explicit Version),Busta Rhymes,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"스맨파, 스트릿우먼, dance","[12, 11, 10, 10]",10.75,0.82915619758885
#Twerkit (Explicit Version) (Feat. Nicki Minaj),Busta Rhymes,스우파 과몰입러의 플리 (믓찌다 믓찌다 우뤼언니),"힙합, 스웩, 댄스, OST, 카리스마","[18, 17, 17, 13, 10]",15.0,3.03315017762062
#beer,KURO,시원한 여름을 위한 플레이리스트!,"여름, 2010년대, 가요, 편안한, 레이블 PICK, 인디, 국내음악","[16, 13, 15, 17, 14, 17, 10, 5, 2, 1]",11.0,5.865151319446072
#seoulcitypopfreestyle,홈보이 (Homeboy) & 원슈타인,여름에도 그루브 타는 플레이리스트,"인디, 그루브한, 기분전환, 맑은날, 드라이브, 밤, 산책, 오늘의선곡","[16, 18, 17, 17, 15, 15, 16, 15, 15, 15, 10, 8, 15, 7, 2]",13.4,4.37873649964614
#불편해 (Feat. 강민희 (미스에스)),렉스디 (REX.D),그루브타고 싶어지는 매력적인 음악,"드라이브, 부드러운, 그루브한, 맑은날","[17, 17, 15, 15, 2]",13.2,5.670978751503131
#첫사랑,볼빨간사춘기,봄을 부르는 인디 TOP100,"인디, 봄, 탑백","[18, 14, 15, 10, 4]",12.2,4.833218389437829
$100 Dollar Bill Ya'll,Ice Cube,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"OST, 댄스, 스트릿우먼, 스웩, 갈라토크쇼, 멋짐","[18, 14, 14, 12, 10, 10, 10]",12.571428571428571,2.7701027756664733
'Til You Do Me Right,After 7,분위기에 취해! 내 안의 소울을 깨워 주는 그루비한 플레이리스트,"R&B/소울, 밤, 그루브한, 집, POP","[16, 15, 15, 15, 14]",15.0,0.6324555320336759
(Not) The One,Bebe Rexha,"지금, 가장 달콤하고 매혹적인 플레이리스트","몽환적인, 부드러운, POP, 오늘의선곡, 달콤한, 휴식","[15, 15, 17, 15, 12, 8, 3, 0]",10.625,5.893587617063142
(They Long To Be) Close To You,The Carpenters,"세월이 흘러도 영원할 명곡, LP판 감성의 올드팝","차트, 추억, Pop, 회상, 인기, LP, 기분전환","[16, 18, 16, 15, 18, 14, 15, 7, 0]",13.222222222222221,5.593205754956986
...사랑했잖아...,린,추천 ♬ 잊혀질리 없는 명품 발라드 ♪ No.23,"가을, 기쁨, MP3, 이별, TOP100, 인기, 명곡, ralalra, 노랫말을듣는다, 추억, 싸이월드","[16, 15, 15, 16, 9, 8, 8, 15, 2, 2, 1]",9.727272727272727,5.7539063267078765
...사랑했잖아...,린 (LYn),[가요] 이 노래 ㄱ나니?,"2000년대, 그리움, 스타플레이리스트, 발라드, 밤, 가요, 흐린날, 뉴트로 뮤우-직, 랩/힙합, 추억","[17, 16, 9, 14, 15, 17, 12, 13, 12, 12, 6, 17, 5, 1, 2]",11.2,5.230678732248808
0 (데이브레이크 이원석 Ver.),페이프 (Pijp),나 홀로 즐기는 플레이리스트 ＃NIGHT,"R&B/소울, 휴식, 몽환적인, 오늘의선곡, 부드러운, 집","[15, 15, 17, 16, 14, 15, 8, 3]",12.875,4.512136411945011
00:00 (Zero O’Clock),방탄소년단,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"추억, 좋아요10만",[16],16.0,0.0
0310,백예린 (Yerin Baek),섬세한 내 마음에 가을이 오면,"가요, TODAY PICK, 밤, 발라드, 가을, 국내음악","[16, 13, 9, 15, 14, 15]",13.666666666666666,2.2852182001336816
0728,Zoe,오늘 꼭! 들어봐야 할 최신 '인디',"블루스/포크, 2020년대, 오늘의선곡","[15, 15, 8, 5, 5, 5]",8.833333333333334,4.487637339278753
07월 24일,Zoë Evans,도입부 3초만에 바로 반해버린 인생 팝송 ②,"힐링, 도입부, 센치한, 감성, 드라이브","[17, 15, 17, 16, 2]",13.4,5.748043145279966
1 In A Million,ASTRO (아스트로),사이다가 필요 없는 청량 가득 아이돌 플레이리스트,"아이돌, 맑은날, 드라이브, 국내음악, 가요, 해변, 기분전환, 더운날","[16, 16, 18, 17, 17, 13, 14, 12, 9, 15, 7, 2]",13.0,4.600724580614087
1 Night (Feat. Charli XCX),Mura Masa,감각적이고 분위기 있는 일렉트로닉 사운드,"기분전환, 해외음악, 맑은날, 드라이브","[16, 16, 18, 17, 17, 17, 15, 7, 2]",13.88888888888889,5.2163087085802236
"1, 2 Step (Feat. Missy Elliott) (Main)",Ciara,당신의 댄스본능을 깨워줄 댄서블한 POP,"오늘의선곡, 해외음악, 2000년대, 클럽, 밤","[16, 15, 15, 17, 15, 8, 8, 5]",12.375,4.29934588047996
"1,000,000 X Better",Griff & HONNE,일상의 텐션으로 스위치 ON!,"설연휴특집, 드라이브, 기분전환, 오후, 맑은날, POP","[16, 18, 17, 17, 16, 15, 18, 13, 15, 12, 7, 2]",13.833333333333334,4.633812924819281
"1,2,3,4. (원,투,쓰리,포.)",코요태,추억의 노동요 90-2000년대 신나는 댄스곡,"댄스, 흥겨운, 기분전환, 운동, 헬스","[16, 18, 18, 15, 14, 15, 9, 7]",14.0,3.7416573867739413
1-800,Kye Colors,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"카페, 팝, groove, 기분전환, Pop","[16, 18, 19, 17, 15, 7]",15.333333333333334,3.9440531887330774
1/10,브로콜리너마저,"가을이니깐, 들으면서 쉬다 가요","가을, 2010년대, 카페, 국내음악, 오늘의선곡","[16, 15, 15, 13, 19, 15, 8, 5]",13.25,4.264680527307995
1/1440 (Feat. 지샤넬),헤이즈 (Heize),선선한 여름밤에 듣는 감성 충전 음악들,"맑은날, 오늘의선곡, 2010년대, 기분전환, R&B/소울, 산책","[16, 18, 17, 15, 15, 16, 14, 8, 15, 5, 7]",13.272727272727273,4.223116236122522
10 MINUTES,이효리,효리네 민박 13회,방송,"[1, 3]",2.0,1.0
"10,000 Hours",Dan + Shay,브이로그 재질 브금 TOP100,"팝, 탑백, 도입부, 인기","[18, 17, 15, 15, 16, 15, 4]",14.285714285714286,4.333071682315172
100 Degrees,Public Library Commute,언제 들어도 기분 좋아지는 멜로디의 POP,"산책, 드라이브, 힐링, 행복","[17, 16, 17, 16, 2]",13.6,5.817215828899595
100 Degrees,Rich Brian,한주의 시작에 생기를 불어줄 신나는 팝!,"운동, 댄서블한, 출/퇴근길, 오후, 오늘의선곡, 봄","[15, 15, 15, 16, 15, 14, 15, 16, 8, 10, 3]",12.909090909090908,3.964720452246641
100 Rays,보은,고요하게 여운을 남기는 발라드,"집, 발라드, 2010년대, 밤, 가을, 흐린날","[17, 9, 16, 15, 15, 5]",12.833333333333334,4.336537277085896
100% 로맨틱,민설,추억이 새록새록 떠오르는 싸이월드 BGM,"추억, 싸이월드, 브금, bgm","[16, 7, 2, 1]",6.5,5.937171043518958
100%로맨틱,민설,추억이 새록새록 떠오르는 싸이월드 BGM,"30대, bgm, 10대, 추억","[16, 5]",10.5,5.5
100년 동안의 진심,언니네 이발관,박소은의 '아무도 없는 방에서 혼자 듣고 싶은 음악',"국내음악, 스타플레이리스트, 집, 발라드, 가요, 비오는날, 흐린날, 밤","[16, 17, 13, 9, 16, 14, 15, 13, 13, 12, 12, 2]",12.666666666666666,3.8369548110737792
10°0' 0° N 118°50 0° E (Feat. ASH ISLAND),김승민,매마른 분위기를 전환시켜주는 감성자극 힙합&알앤비,"국내음악, 봄, 기분전환, 밤, 집, 저녁","[16, 16, 18, 13, 16, 15, 14, 14, 15, 7]",14.4,2.8000000000000003
10월의 날씨,10CM,쌀쌀한 가을 날씨와 함께 들으면 좋을 플레이리스트,"산책, 잔잔한, 오늘의선곡, OST, 새벽, 드라이브, 2010년대, 추억, 집, 가요, 국내음악가을, 아련한","[16, 17, 15, 15, 16, 13, 16, 16, 15, 14, 17, 15, 8, 2, 5, 2]",12.625,5.085211401701998
10월의 어느 멋진 날에,김동규,매년 가을이면 떠오르는 아련한 감성의 Music ♪,"가을, OST, 아련한, 감성발라드, 발라드","[15, 9, 15, 2]",10.25,5.356071321407137
11 (ELEVEN) HITCHHIKER REMIX,Hitchhiker,몽환의 세계로 빠지게 할 신스팝!,"2010년대, 그루브한, 오늘의선곡, 몽환적인, 국내음악, 출/퇴근길","[16, 15, 15, 13, 15, 16, 15, 15, 15, 8, 3, 5, 3]",11.846153846153847,4.912247704950647
11 in morning,오왼 (Owen),센치한 무드로 즐기는 감성힙합,"30대, 그루브한, 랩/힙합, 20대, 기분전환, 매혹적인, 오늘의선곡","[16, 18, 15, 15, 15, 15, 17, 13, 12, 8, 17, 15, 5, 7, 3]",12.733333333333333,4.552898954390366
11:11,태연 (TAEYEON),"가을이니깐, 들으면서 쉬다 가요","가을, 운전, 어쿠스틱, 집, 카페, 밤, 기분전환, 산책, 여름밤, 좋아요10만, 감성, 캠핑, 출퇴근, 외로운, 사랑, 오늘의선곡, 인기, OST, 드라이브, TOP100, 노래방","[16, 18, 17, 15, 15, 15, 16, 19, 16, 15, 17, 15, 15, 15, 16, 14, 13, 8, 15, 3, 8, 7, 1, 3, 1, 7, 2, 1]",11.535714285714286,5.906909651641294
11월27일 (Feat. Jane),dress,매마른 분위기를 전환시켜주는 감성자극 힙합&알앤비,"그루브한, 봄, 집, 국내음악, 랩/힙합, 오늘의선곡","[16, 15, 15, 13, 16, 14, 15, 15, 17, 12, 8, 17]",14.416666666666666,2.396467307424734
12 : 45 (Stripped),etham,추운 겨울 방구석에 틀어놓기 좋은 따뜻한 팝송,"해외음악, 편안한, 겨울, 기분전환, POP, 유니버설뮤직","[16, 16, 18, 17, 15, 16, 16, 15, 12, 7, 1]",13.545454545454545,4.887156383896587
12:00,환상약국 (Fantastic Drugstore),"여름날, 푸른 새벽부터 눈부신 밤까지의 음악들","새벽, 2010년대, 편안한, 산책, 매혹적인, 밤, 우울, 설렘, 가요, 흐린날","[17, 15, 16, 14, 15, 15, 13, 12, 3, 5, 3]",11.636363636363637,5.068130859915038
12:45 (Stripped),Etham,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"산책, 휴식, 우울, 기분전환, 비, 명곡, 팝, 드라이브, 회상, 팝탑백, 스트레스, 인기, 탑백, 추억","[16, 18, 17, 16, 17, 16, 18, 17, 15, 16, 14, 15, 17, 13, 8, 15, 3, 4, 7, 2, 0]",12.571428571428571,5.736860171369905
"12:45 (말하고 싶은 비밀 X 김승민, Cosmic Boy)",김승민,밤에 듣기 좋은 감성 국힙 Playlist,"비트, 저녁, 그루브, 분위기, 산책","[16, 15, 14, 13, 9, 15, 15, 8]",13.125,2.8034576865007255
12시 25분 (Wish List),f(x),설레는 크리스마스에 빠질 수 없는 K-캐롤 베스트 에디션,"겨울, 크리스마스, 카페, 드라이브, 가요","[17, 19, 14, 16, 19, 2]",14.5,5.852349955359813
12시 30분,비스트,00년대생들의 심금을 울리는 2.5세대 아이돌 명곡,"감성, 추억, 봄, 기분전환, 노래방","[16, 18, 16, 15, 14, 14, 13, 15, 7]",14.222222222222221,2.8974232912011773
12월,김산,내일을 기다리는 들뜬 기분과 함께할 플레이리스트,"국내음악, 설렘, 편안한, 크리스마스 특집, 오늘의선곡, 출/퇴근길","[16, 15, 15, 13, 15, 16, 15, 16, 19, 18, 8, 12, 3]",13.923076923076923,4.103685744107428
12월 32일,별,90년대생들이 MP3에 넣고 다녔던 여자 발라드,"감성, MP3, 드라이브, 발라드, 명곡, 가을, OST, 싸이, 90년대, 겨울, 00년대","[17, 15, 9, 15, 16, 16, 8, 5, 2]",11.444444444444445,5.230489909306587
12월32일,별,지금 걷고 있는 산책로의 끝엔 코인노래방이 있다,"추억, 국내음악, 부드러운, 2000년대, 이별, 잔잔한, 출/퇴근길, 가요","[16, 16, 13, 15, 16, 14, 17, 9, 3, 5, 2]",11.454545454545455,5.416534221733175
12월의 기적 (Miracles In December),EXO,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"인기, 기분전환, 드라이브, TOP100, 차트, 매장음악, 회상, 크리스마스","[16, 16, 18, 17, 15, 17, 18, 14, 19, 15, 7, 2, 0]",13.384615384615385,6.006899386262965
13,LANY,당신을 감싸줄 매혹적인 음악,"출/퇴근길, 기분전환, 달콤한, R&B/소울, 그루브한, 드라이브, 집, 집중, TODAY PICK, 오후, 추운날, 2020년대, 일/공부, 매혹적인","[16, 18, 17, 17, 16, 15, 16, 15, 15, 15, 14, 19, 13, 18, 12, 13, 15, 3, 5, 7, 2, 3, 0]",12.347826086956522,5.699799353083092
15 MINUTES,Jake Miller,팝송 좀 듣는 친구의 Pick! 취향저격 보석 같은 숨은 명곡 #1,"힐링, 기분전환, Pop, 명곡","[16, 18, 16, 17, 8, 15, 7]",13.857142857142858,4.120630029101703
1501,Dinah Jane,가볍게 즐기는 그루브한 POP 플레이리스트,"산책, POP, 휴식, 그루브한, TODAY PICK, 해외음악","[16, 17, 17, 16, 15, 15]",16.0,0.816496580927726
1517,The Whitest Boy Alive,발걸음을 신나게! 리드미컬 팝 플레이리스트,"기분전환, POP, 봄, 맑은날, 힘찬, 휴가/여행, 댄서블한","[16, 18, 17, 15, 15, 14, 16, 15, 10, 0, 7, 1]",12.0,5.901977069875258
15th Floor,PREP,오늘 기분 맑음✨,"2010년대, 20대, 맑은날, 산책, 밝은, TODAY PICK","[17, 16, 5]",12.666666666666666,5.436502143433364
16 Shots,Stefflon Don,[스우파] 스트릿우먼파이터에 나온 노래들! - 지속 업데이트!,"OST, 댄스, TOP100, 갈라토크쇼, 탑백, 걸크러쉬, 스우파, 런웨이, 멋짐","[18, 18, 15, 14, 14, 14, 11, 4, 2]",12.222222222222221,5.3495124965380985
180도,벤,○ 좋아요 10만 넘은곡들 순서대로(상시업뎃) ○,"감성, 추억, 좋아요10만, 벅차오르는, 2030, 이별","[16, 15, 9, 2]",10.5,5.5901699437494745
1950,King Princess,잠 안 오는 밤에 듣기 좋은 잔잔한 플레이리스트,"편안한, POP, 휴식, 오늘의선곡, 부드러운, 새벽","[15, 15, 17, 15, 15, 8]",14.166666666666666,2.852873794770615
1995,The Radio Dept.,눈 내린 겨울 아침의 포근함을 담은 노래❄,"2000년대, 눈오는날, 20대, 잔잔한, 집, 오늘의선곡, 겨울, 휴식, 인디, 30대","[17, 15, 15, 17, 16, 17, 16, 10, 8, 9, 5]",13.181818181818182,4.130115160582017
1999,John K,일상의 텐션으로 스위치 ON!,"드라이브, 기분전환, 맑은날, 오늘의선곡, 설연휴특집, 신나는","[16, 18, 17, 17, 15, 15, 18, 16, 18, 8, 13, 15, 12, 7, 2, 2]",13.0625,5.249627963008426
1999,sad toi,빈티지 ᴮᴳᴹ 감성 뿜뿜 플리 ⋆⁺₊⋆,"Lofi, 감성, 휴식, 독서, 카페","[17, 15, 19, 9]",15.0,3.7416573867739413
1TYM,원타임 (1TYM),X세대 모여라! 이노랠 들으면 기분이 좋거든요~,"기분전환, 설연휴특집, 가요, TODAY PICK, 드라이브, 국내음악","[16, 16, 18, 17, 13, 16, 14, 18, 13, 15, 12, 7, 2]",13.615384615384615,4.3947251867956
1분 1초 (Feat. 타루),에픽하이 (EPIK HIGH),추억이 새록새록 떠오르는 싸이월드 BGM,"10대, 브금, 추억의, 20대","[16, 7, 5]",9.333333333333334,4.784233364802441
1＋1,나상현씨밴드,오늘 꼭! 들어봐야 할 최신 '인디',"힘찬, weekly choice, 30대, 왓츠인마이플리, 국내음악, 드라이브, 2020년대, 락/메탈, 2010년대, 밝은","[16, 17, 13, 12, 12, 0, 5, 3, 2]",8.88888888888889,6.04509800388242
1＋1=0 (Feat. DEAN),SURAN (수란),스타플레이리스트 : 느와르의 '운동할 때 들으면 좋은 음악!',"신나는, 오후, 국내음악, 기분전환, 스타플레이리스트","[16, 16, 18, 13, 18, 15, 13, 12, 12, 15, 7, 2, 2]",12.23076923076923,5.176185797310992
2 Times (Feat. Mauley G) (Prod. by DJ Pain 1),Ted Park,지친 수요일을 깨워줄 플레이리스트,"맑은날, 휴가/여행, 드라이브, 국내음악, 그루브한, 기분전환","[16, 16, 18, 17, 17, 13, 15, 15, 15, 15, 15, 7, 2, 1]",13.0,5.31843156256751
2 U (Feat. Anthony Pavel),Pink Slip,맥주 한잔하며 느긋하게 듣는 플레이리스트,"출/퇴근길, 드라이브, 휴식, 산책, 오늘의선곡, POP, 맑은날, 그루브한, 저녁, 봄, 집, 댄서블한","[17, 17, 15, 15, 17, 16, 16, 15, 16, 14, 15, 15, 14, 16, 8, 10, 3, 2]",13.38888888888889,4.461425891758633
2 Weeks,아슬 (Aseul),긴장된 하루속 작은 여유를 선사할 플레이리스트,"저녁, 가요, R&B/소울, 휴식","[17, 14, 14, 14]",14.75,1.299038105676658
2 people,Rowan Drake,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ","센치한, 감성, mbti, ISFJ, 팝","[15, 17]",16.0,1.0
2 soon,keshi,하이라이트와 함께 하는 봄소풍,"인기, 신나는, 이기광, 기분전환, 봄, 휴식, 명곡, 불어온다, 도입부, 띵곡, 손동운, 음색","[16, 18, 17, 18, 14, 15, 16, 16, 8, 15, 10, 5, 7, 2, 2]",11.933333333333334,5.543364401596642
2. Andante,Nicola Benedetti,모든 공간을 독서실로 만든다!,"아침, 집중, 클래식, 봄","[16, 14, 13, 16, 13]",14.4,1.3564659966250536
20 Minutes,Years & Years,도입부터 너무 좋아! 호불호 안갈리는 팝송 ♪,"편안한, 신나는, 기분전환, 외출, 팝송","[16, 18, 18, 15, 15, 17, 16, 15, 12, 1, 7, 2]",12.666666666666666,5.749396103553447
2002 (Jay Pryor Remix),Anne-Marie,불금엔 클럽이지! 헬.스.클.럽!,"힘찬, 댄서블한, 자전거, 일렉트로니카, 운동","[15, 16, 18, 16, 10, 0, 7]",11.714285714285714,5.969309261650337
200％,AKMU (악뮤),산뜻함을 품은 봄나들이 유도 플레이리스트,"오늘의선곡, 맑은날, 출/퇴근길, 발라드, 2010년대, 로맨틱한, 편안한, 부드러운","[17, 15, 15, 9, 15, 15, 16, 8, 3, 5, 7]",11.363636363636363,4.791521437492523
2021,Lauv,적당히 그루비한 BGM vol.5 (집안일/작업/휴식),"집콕, 매장음악, 드라이브, 기분전환, 팝, 힐링","[16, 16, 18, 17, 16, 17, 17, 17, 15, 12, 7, 2]",14.166666666666666,4.6696419087073
20세기 소년소녀,자우림,당신을 헬스장 락커 너머의 나니아로 데려가 줄 노래,"달리기, 2010년대, 운동, 신나는, 자전거, 가요, 설렘, 국내음악","[16, 13, 18, 14, 15, 15, 16, 15, 12, 5, 7, 2, 0]",11.384615384615385,5.636944910941926
22,Taylor Swift,“인생곡 발견” 도입부부터 느낌오는 ᴘᴏᴘ vol.2,"감성팝, 여행, 도입부, 감성, Pop","[15, 15, 17, 16, 1]",12.8,5.946427498927402
23,Blonde Redhead,가을엔 조금 센치해져도 괜찮아,"POP, 산책, 해외음악, 집, 락/메탈, 휴식","[16, 17, 17, 16, 16, 12, 12]",15.142857142857142,2.0303814862216996
24,Arizona Zervas,"""이 노래 뭐야?"" 틀어 놓으면 옆에서 자꾸 물어봐 pt.12","드라이브, 기분전환","[16, 18, 17, 15, 7, 2]",12.5,5.909032633745278
24 to 25,Stray Kids (스트레이 키즈),듣기만 해도 설레는 크리스마스 캐롤 Playlist (수시 업뎃),"foreven, Christmas, 연말, 기분전환, 겨울","[16, 18, 16, 14, 15, 7]",14.333333333333334,3.496029493900505
2411,Crush,"바람이 살랑, 가을 밤 가볍게 타는 그루브","새벽, 저녁, 국내음악, 오늘의선곡, R&B/소울, 안개낀날","[16, 17, 15, 15, 13, 15, 14, 14, 8, 6]",13.3,3.348133808556641
247 (Feat. 아이유),세 개의 시선,추억이 새록새록 떠오르는 싸이월드 BGM,"10대, 추억, 30대, 싸이월드","[16, 5, 2, 1]",6.0,5.958187643906492
24시간이 모자라,선미,00년대생들의 심금을 울리는 2.5세대 아이돌 명곡,"스트레스, 기분전환, 00년대, 드라이브, 댄스","[16, 18, 17, 18, 17, 15, 5, 7, 2]",12.777777777777779,5.92129448643299
28,Samuel oscar,"여름밤, 느긋하고 기분좋은 루프탑에서","RnB, 휴식, 카페, 설렘","[17, 19, 12]",16.0,2.943920288775949
281.31km ( To. ),김뮤지엄 (KIMMUSEUM),여름밤 산책하며 듣기 좋은 노래 TOP100,"인기, 차트, 감성, 여름밤","[15, 17, 15, 15, 18, 15, 8, 1]",13.0,5.315072906367325
29,Chris James,오늘 기분 맑음✨,"POP, 기분전환, 해외음악기분좋은, 카페, 행복, 힐링, 20대, 2020년대, 오후, TODAY PICK","[16, 16, 18, 17, 19, 15, 17, 16, 15, 5, 7]",14.636363636363637,4.24848052565379
2AM (서성거리다),돕선앤로직스,추억이 새록새록 떠오르는 싸이월드 BGM,"브금, 추억, 싸이월드, 30대","[16, 7, 5, 2, 1]",6.2,5.344155686354955
2NITE (Feat. Ace Hashimoto & Taichi Mukai),Slom,일요일을 나른하게 만들어 줄 플레이리스트,"드라이브, 매혹적인, 국내음악, 그루브한, 흐린날, 집","[16, 17, 17, 13, 16, 15, 15, 13, 2, 3]",12.7,5.273518749374083
2cm (Feat. 폴킴),민서 (MINSEO),듣기만 해도 연애하고 싶어지는 달달한 사랑 노래,"달달한, 기분좋은, 휴식, 행복, 힐링","[16, 17, 17, 16, 15, 0]",13.5,6.075908711186061
2nd Time Around,Tuxedo,매장에서 하루종일 들어도 질리지 않는 플레이리스트,"댄서블한, 일/공부, 가을, 오후, 2010년대, 그루브한, 마크곤잘레스, 해외음악","[16, 17, 15, 15, 15, 15, 19, 18, 16, 10, 5, 1]",13.5,5.204164998665331
3,Britney Spears,90년대생들이 MP3에 넣고 다녔던 그 시절 싸이월드 POP,"감성, 추억, 00년대, 기분전환, MP3","[16, 18, 16, 15, 15, 5, 7]",13.142857142857142,4.642307659791977
30 Min Dance Workout Mix (Continuous Mix),Justin Timberlake,스우파 과몰입러의 플리 (믓찌다 믓찌다 우뤼언니),"OST, 스트릿우먼파이터, 걸크러쉬, 스웩, 카리스마","[13, 12, 12, 10, 11, 10, 10, 7, 2, 2]",8.9,3.78021163428716
305,Shawn Mendes,일상의 텐션으로 스위치 ON!,"편안한, 오늘의선곡, 브이로그, 매장음악, 설연휴특집, POP, 외출, 탑백, 휴식, 출/퇴근길, 취향저격, 맑은날, 기분전환","[16, 16, 18, 17, 15, 15, 17, 15, 16, 15, 16, 18, 17, 15, 18, 8, 13, 15, 12, 12, 3, 9, 4, 3, 7, 2, 1]",12.333333333333334,5.429685210164719
310,백예린 (Yerin Baek),매년 가을이면 떠오르는 아련한 감성의 Music ♪,"드라이브, 추억, OST, 발라드, 가을","[17, 16, 9, 15, 2]",11.8,5.635601121442148
33 'GOD',Bon Iver,가을엔 조금 센치해져도 괜찮아,"오늘의선곡, 해외음악, 가을, 새벽, 집, 휴식","[16, 15, 15, 17, 17, 16, 15, 15, 8]",14.88888888888889,2.5579698740491863
330,유키스,2000년대 인기가요 띵곡 모음,"2000년대에서2015년까지, 기분전환, 댄스, kpop","[16, 18, 18, 15, 5, 7]",13.166666666666666,5.2094998693625945
34+35,Ariana Grande,"""이 노래 뭐야?"" 틀어 놓으면 옆에서 자꾸 물어봐 pt.13","dance, 멋짐, 스우파, 스맨파, 스트릿우먼파이터, 트렌디, 기분전환, 스트릿우먼, 갈라토크쇼","[16, 18, 14, 15, 14, 14, 14, 12, 11, 12, 7, 10, 10, 7, 2, 2]",11.125,4.498263553861645
365,Jimmy Harvey,"조용한 새벽, 혼자 듣고 싶은 감성 팝송","새벽, 2010년대, 부드러운, POP, 휴식, 20대","[17, 15, 5]",12.333333333333334,5.2493385826745405
3D (feat. Jack Harlow),정국,댄스 TOP100,"명곡, 탑백, 국내, 내적댄스, 드라이브, 노동요, 인기, 장르탑백, 가을, 댄스","[17, 13, 18, 15, 18, 15, 16, 15, 13, 8, 15, 12, 4, 0, 2, 3]",11.5,5.873670062235365
3am,Syn (씬),편안한 계절에 어울리는 알앤비 플레이리스트,"기분전환, R&B/소울, 가을, TODAY PICK, 2020년대, 밝은","[16, 18, 15, 14, 15, 5, 7]",12.857142857142858,4.5175395145262565
3시 33분,인아웃 (inout),서늘한 강바람 맞으며 듣기 좋은 인디 음악,"부드러운, 산책, 여름, 인디, 카페, 국내음악, 가요, 편안한","[16, 13, 15, 16, 19, 17, 14, 10, 1]",13.444444444444445,5.013561854523768
4 Us,Otis Junior & Dr Dundiff,"가을밤 부드러운 공기처럼, 편안히 흐르는 그루브","오늘의선곡, 편안한, 해외음악, 카페, R&B/소울, POP","[16, 15, 15, 17, 15, 19, 14, 8]",14.875,2.9764702249476644
4 Walls,f(x),2000년대 인기가요 띵곡 모음,"2000년대에서2015년까지, 2000년대, 운동, 케이팝","[15, 17, 13, 5, 2]",10.4,5.851495535331117
451,Yorushika,☀이 계절을 사랑하게 만들어줄 제이팝 플레이리스트🌧,"해외음악, TODAY PICK, 2020년대, 오늘의선곡, 흐린날, 여름","[16, 17, 15, 15, 17, 17, 8, 5, 1]",12.333333333333334,5.715476066494082
49일간의 시간 (Feat. 요아),미풍,추억이 새록새록 떠오르는 싸이월드 BGM,"브금, bgm, 추억, 30대","[16, 7, 5]",9.333333333333334,4.784233364802441
4H's (천오백삼십일스무시간),BGH4,추억이 새록새록 떠오르는 싸이월드 BGM,"20대, bgm, 10대, 싸이월드","[5, 2, 1]",2.6666666666666665,1.699673171197595
4ever And Ever (Feat. Abby Diamond),3TOS,공간의 분위기를 부드럽게 만들 플레이리스트,"따뜻한, 기분전환, 2010년대, 오늘의선곡, 드라이브","[16, 18, 17, 15, 15, 15, 8, 15, 5, 7, 2]",12.090909090909092,5.2475889780588405
4hours (Feat. 이바다),LAYBACKSOUND (레이백사운드),당신의 마음을 움직일 감각적인 R&B,"매혹적인, R&B/소울, 그루브한, 집, 오늘의선곡, 기분전환, 저녁","[16, 18, 15, 15, 16, 15, 15, 14, 14, 13, 8, 15, 7, 3]",13.142857142857142,4.015276949301485
4pm Cafe,170hz,빈티지 ᴮᴳᴹ 감성 뿜뿜 플리 ⋆⁺₊⋆,"감성, Lofi, bgm, 집중, 카페","[15, 19, 16, 13]",15.75,2.165063509461097
4월은 너의 거짓말 1기 OP - 光るなら (빛난다면),FermaTa,"힐링과 평화를 드릴게요, 애니메이션 OST 🍀","연주음악, 집, 일/공부, 위로, 휴식, 편안한","[16, 17, 15, 16, 19, 18, 9, 13, 3]",14.0,4.784233364802441
4월의 그대는,Allegrow,벚꽃 엔딩부터 시작하는 완벽한 봄노래 모음집,"봄캐롤, 봄, 기분전환, 사랑, 카페","[16, 18, 19, 14, 16, 15, 7, 3]",13.5,5.220153254455275
4＋4,hye.uk (혜욱),느낌적인 느낌이 있는 플레이리스트,"아침, 산책, 그루브한, 출/퇴근길, 국내음악, 몽환적인, R&B/소울","[16, 13, 16, 15, 16, 15, 15, 14, 15, 13, 3, 3]",12.833333333333334,4.506168611531924
5 (five) (Feat. 카더가든 & The Quiett),BOYCOLD,다채로운 여름의 색을 담은 플레이리스트,"오늘의선곡, 산책, 더운날, 기분전환, 드라이브, 랩/힙합","[16, 18, 17, 17, 15, 15, 16, 17, 12, 8, 17, 15, 7, 2]",13.714285714285714,4.589250972631146
5 Gawd,수퍼비 (SUPERBEE),"파워풀한 사운드의 매력, 힙합","힘찬, 2010년대, 오늘의선곡, 운동","[15, 15, 15, 8, 0, 5]",9.666666666666666,5.82141639885766
