Song,Singer,Playlist,Tag,Cluster,mean_cluster,std
Win Anyway,Walk The Moon,언제 어디서나 분위기 메이커 !! 미디엄 템포 Love,"기분전환, 그루브, groove, 매장, 알앤비","[16, 18, 15, 17, 13, 13, 15, 7]",14.25,3.191786333700926
Winter Blossom (Feat. SAAY) (Prod. by 0channel),펀치넬로 (punchnello),센치한 무드로 즐기는 감성힙합,"20대, 밤, 매혹적인, 랩/힙합, 드라이브, 30대, 국내음악","[16, 17, 13, 15, 17, 13, 12, 17, 5, 2, 3]",11.818181818181818,5.490788680196909
Winter Has Come,Sam Ock,연말 분위기 나는 크리스마스 BGM (재즈/lofi/알앤비),"분위기있는, 겨울, 연말, Lofi","[16, 9, 15, 14, 15]",13.8,2.481934729198171
Winter Wonderland,Tony Bennett & Lady Gaga,행복한 크리스마스를 위한 완벽한 플레이리스트!,"POP, 크리스마스 특집, 겨울, 밝은, 2010년대, 레이블 PICK, 하우스파티, 2020년대","[16, 17, 16, 19, 18, 19, 18, 5, 2]",14.444444444444445,5.9835164523716715
Winters,진킴,"녹아내릴 듯, 편안하고도 따스한 연주곡","눈오는날, 겨울, 추운날, 밤, 오늘의선곡, 2010년대, 국내음악, 연주음악","[16, 17, 15, 15, 13, 15, 16, 13, 8, 9, 5]",12.909090909090908,3.703917961356975
Wipe It Up,주영 (Jooyoung),지금 이 순간과 찰떡같이 Chill한 음악들,"집, 설렘, 그루브한, 출/퇴근길, 산책, 2010년대, 저녁","[16, 16, 15, 16, 15, 15, 14, 12, 3, 5]",12.7,4.517742799230607
Wish,골든 팝스 (Golden Pops),달달한 내 마음을 전해줄 플레이리스트!,"국내음악, 사랑, 설렘, 행복, 가요","[16, 13, 14, 16, 16, 12]",14.5,1.6072751268321592
Wish I Was Right For You (Feat. YOUHA),Jens,추운 겨울 방구석에 틀어놓기 좋은 따뜻한 팝송,"집, POP, 유니버설뮤직, 편안한, 해외음악, 레이블 PICK, 따뜻한, 잔잔한","[16, 17, 15, 16, 17, 17, 16, 15, 12, 1, 2]",13.090909090909092,5.631963091539468
Wish We Never Met,WhoHurtYou,일상의 텐션으로 스위치 ON!,"오후, 기분전환, 출/퇴근길, 오늘의선곡, POP, 드라이브","[16, 18, 17, 15, 15, 15, 16, 15, 8, 15, 3, 7, 2]",12.461538461538462,5.242069242277175
Wish You Could (Feat. Cogeta),Lindal,가을의 고즈넉한 감성이 흐르는 POP,"드라이브, 출/퇴근길, 잔잔한, 오늘의선곡, 산책, 해외음악","[16, 17, 15, 15, 17, 16, 15, 16, 17, 8, 3, 2]",13.083333333333334,5.267167697686828
Wish You Well,Emma Louise,"선선해진 가을 날씨 즐기는, ISFJ의 감성팝 PLAYLIST ᕷ","팝, 가을, 선선한, 감성, 잔잔한","[15, 15, 17, 17, 8]",14.4,3.32264954516723
Wish You Were Here,Vicetone,기분업하기 좋은 트렌디한 사운드의 팝 #20,"기분전환, 세련된, 트렌디, Pop, 드라이브","[16, 18, 17, 14, 15, 13, 7, 2]",12.75,5.141740950300783
Wish You Were Sober,Conan Gray,부쩍 따뜻해진 날씨에 듣는 기분전환 플레이리스트,"오늘의선곡, 해외음악, POP, 2010년대, 신나는","[16, 15, 15, 17, 18, 8, 5, 2]",12.0,5.70087712549569
